iter	Passed	Remaining
0	157	62856
1	169	33661
2	181	23994
3	197	19543
4	223	17666
5	252	16560
6	260	14617
7	278	13630
8	301	13078
9	309	12087
10	321	11384
11	336	10891
12	348	10369
13	360	9935
14	376	9660
15	407	9779
16	432	9743
17	460	9778
18	489	9807
19	505	9598
20	518	9351
21	543	9340
22	564	9259
23	578	9056
24	602	9036
25	628	9038
26	647	8945
27	663	8817
28	690	8831
29	716	8832
30	740	8820
31	761	8753
32	786	8742
33	802	8641
34	828	8639
35	849	8589
36	874	8582
37	901	8591
38	927	8589
39	937	8436
40	963	8433
41	990	8440
42	1002	8323
43	1014	8209
44	1039	8196
45	1059	8154
46	1085	8149
47	1110	8144
48	1135	8134
49	1155	8090
50	1181	8082
51	1205	8069
52	1225	8024
53	1250	8012
54	1277	8013
55	1303	8010
56	1330	8008
57	1356	7999
58	1384	8002
59	1411	8000
60	1437	7989
61	1465	7990
62	1499	8022
63	1526	8016
64	1554	8014
65	1583	8010
66	1610	8005
67	1638	8001
68	1667	8001
69	1696	7995
70	1722	7980
71	1750	7974
72	1778	7965
73	1805	7955
74	1833	7943
75	1860	7932
76	1888	7923
77	1916	7912
78	1939	7880
79	1949	7796
80	1970	7761
81	1997	7748
82	2025	7734
83	2052	7722
84	2080	7709
85	2107	7695
86	2135	7681
87	2161	7664
88	2187	7643
89	2214	7626
90	2241	7610
91	2267	7591
92	2294	7574
93	2320	7553
94	2350	7546
95	2379	7533
96	2408	7524
97	2436	7509
98	2466	7498
99	2496	7490
100	2526	7478
101	2569	7506
102	2598	7493
103	2628	7480
104	2657	7467
105	2686	7450
106	2715	7435
107	2744	7421
108	2772	7402
109	2786	7345
110	2812	7322
111	2841	7306
112	2869	7288
113	2899	7274
114	2927	7254
115	2954	7233
116	2981	7210
117	3007	7187
118	3034	7166
119	3063	7147
120	3081	7104
121	3106	7078
122	3134	7058
123	3184	7089
124	3225	7095
125	3260	7089
126	3294	7082
127	3319	7054
128	3347	7031
129	3374	7008
130	3400	6983
131	3426	6957
132	3453	6932
133	3481	6910
134	3511	6892
135	3543	6878
136	3571	6856
137	3599	6833
138	3629	6814
139	3658	6795
140	3686	6771
141	3713	6747
142	3742	6726
143	3772	6706
144	3801	6685
145	3828	6659
146	3856	6636
147	3885	6615
148	3912	6591
149	3941	6568
150	3968	6543
151	3995	6519
152	4022	6493
153	4050	6470
154	4078	6446
155	4106	6423
156	4135	6401
157	4163	6376
158	4189	6350
159	4217	6326
160	4244	6300
161	4270	6274
162	4296	6247
163	4331	6232
164	4366	6219
165	4401	6203
166	4430	6181
167	4458	6156
168	4486	6132
169	4515	6108
170	4554	6099
171	4585	6078
172	4614	6054
173	4643	6031
174	4672	6007
175	4700	5982
176	4740	5972
177	4767	5946
178	4794	5919
179	4822	5893
180	4848	5866
181	4875	5839
182	4902	5813
183	4931	5788
184	4958	5762
185	4986	5737
186	5013	5710
187	5041	5684
188	5069	5659
189	5097	5633
190	5125	5608
191	5154	5583
192	5182	5558
193	5215	5537
194	5243	5512
195	5271	5486
196	5299	5460
197	5327	5434
198	5354	5408
199	5382	5382
200	5412	5358
201	5442	5334
202	5469	5307
203	5498	5282
204	5528	5259
205	5559	5235
206	5591	5213
207	5620	5187
208	5648	5162
209	5677	5136
210	5705	5110
211	5735	5086
212	5763	5060
213	5792	5034
214	5820	5008
215	5850	4983
216	5879	4957
217	5906	4931
218	5935	4905
219	5967	4882
220	5995	4855
221	6023	4829
222	6053	4804
223	6082	4778
224	6110	4752
225	6139	4726
226	6168	4701
227	6196	4674
228	6225	4648
229	6255	4623
230	6283	4597
231	6312	4571
232	6340	4544
233	6367	4516
234	6395	4490
235	6425	4465
236	6446	4433
237	6474	4406
238	6503	4381
239	6533	4355
240	6562	4329
241	6598	4308
242	6627	4282
243	6657	4256
244	6685	4229
245	6713	4202
246	6741	4175
247	6769	4148
248	6797	4122
249	6825	4095
250	6841	4061
251	6867	4033
252	6904	4011
253	6935	3986
254	6963	3959
255	6991	3932
256	7019	3905
257	7048	3879
258	7078	3853
259	7106	3826
260	7136	3800
261	7164	3773
262	7182	3741
263	7208	3713
264	7237	3687
265	7266	3660
266	7294	3633
267	7323	3607
268	7350	3579
269	7379	3553
270	7408	3526
271	7434	3498
272	7460	3470
273	7487	3443
274	7505	3411
275	7536	3385
276	7569	3361
277	7597	3334
278	7625	3307
279	7652	3279
280	7681	3253
281	7709	3226
282	7738	3199
283	7767	3172
284	7794	3145
285	7821	3117
286	7846	3089
287	7873	3061
288	7899	3034
289	7924	3005
290	7950	2977
291	7977	2950
292	8007	2924
293	8035	2897
294	8062	2869
295	8090	2842
296	8117	2815
297	8143	2787
298	8187	2765
299	8221	2740
300	8248	2713
301	8275	2685
302	8302	2657
303	8328	2630
304	8355	2602
305	8383	2575
306	8409	2547
307	8435	2519
308	8461	2491
309	8486	2463
310	8513	2436
311	8539	2408
312	8564	2380
313	8592	2353
314	8626	2327
315	8658	2301
316	8685	2274
317	8711	2246
318	8738	2218
319	8766	2191
320	8793	2164
321	8821	2136
322	8848	2109
323	8876	2082
324	8904	2054
325	8929	2026
326	8956	1999
327	8983	1971
328	9010	1944
329	9039	1917
330	9072	1891
331	9102	1864
332	9129	1836
333	9151	1808
334	9180	1781
335	9209	1754
336	9235	1726
337	9261	1698
338	9288	1671
339	9316	1644
340	9343	1616
341	9369	1589
342	9397	1561
343	9423	1534
344	9451	1506
345	9478	1479
346	9504	1451
347	9533	1424
348	9561	1397
349	9589	1369
350	9617	1342
351	9646	1315
352	9675	1288
353	9701	1260
354	9725	1232
355	9752	1205
356	9778	1177
357	9805	1150
358	9833	1122
359	9860	1095
360	9888	1068
361	9916	1040
362	9944	1013
363	9972	986
364	9999	958
365	10027	931
366	10054	904
367	10084	876
368	10110	849
369	10137	821
370	10163	794
371	10190	767
372	10218	739
373	10248	712
374	10277	685
375	10307	657
376	10334	630
377	10363	603
378	10389	575
379	10416	548
380	10443	520
381	10469	493
382	10498	465
383	10528	438
384	10557	411
385	10585	383
386	10613	356
387	10641	329
388	10675	301
389	10700	274
390	10729	246
391	10755	219
392	10782	192
393	10808	164
394	10836	137
395	10862	109
396	10889	82
397	10917	54
398	10947	27
399	10973	0
