iter	Passed	Remaining
402	12571	3026
403	12601	2994
404	12633	2963
405	12676	2934
406	12705	2903
407	12734	2871
408	12764	2839
409	12794	2808
410	12825	2777
411	12854	2745
412	12883	2713
413	12911	2682
414	12940	2650
415	12969	2618
416	12999	2587
417	13032	2556
418	13064	2525
419	13095	2494
420	13127	2463
421	13156	2431
422	13185	2400
423	13215	2368
424	13246	2337
425	13275	2306
426	13306	2274
427	13337	2243
428	13371	2212
429	13403	2181
430	13433	2150
431	13461	2118
432	13492	2087
433	13522	2056
434	13552	2025
435	13582	1993
436	13614	1962
437	13649	1932
438	13680	1900
439	13710	1869
440	13739	1838
441	13769	1806
442	13800	1775
443	13829	1744
444	13860	1713
445	13889	1681
446	13918	1650
447	13948	1618
448	13978	1587
449	14008	1556
450	14039	1525
451	14070	1494
452	14100	1462
453	14131	1431
454	14165	1400
455	14196	1369
456	14231	1339
457	14263	1307
458	14293	1276
459	14324	1245
460	14355	1214
461	14385	1183
462	14413	1151
463	14443	1120
464	14471	1089
465	14500	1057
466	14530	1026
467	14559	995
468	14589	964
469	14617	933
470	14646	901
471	14682	870
472	14710	839
473	14740	808
474	14768	777
475	14798	746
476	14830	715
477	14859	683
478	14889	652
479	14918	621
480	14949	590
481	14978	559
482	15012	528
483	15047	497
484	15077	466
485	15107	435
486	15136	404
487	15166	372
488	15198	341
489	15229	310
490	15261	279
491	15291	248
492	15322	217
493	15351	186
494	15379	155
495	15408	124
496	15437	93
497	15466	62
498	15496	31
499	15526	0
