iter	Passed	Remaining
0	181	72494
1	217	43245
2	250	33104
3	287	28413
4	323	25522
5	359	23608
6	379	21327
7	412	20198
8	448	19486
9	485	18920
10	521	18446
11	557	18034
12	599	17849
13	636	17559
14	674	17312
15	724	17377
16	767	17302
17	805	17104
18	844	16938
19	882	16763
20	920	16620
21	958	16470
22	996	16334
23	1033	16196
24	1070	16054
25	1108	15947
26	1145	15830
27	1183	15729
28	1221	15626
29	1260	15547
30	1298	15459
31	1352	15552
32	1392	15489
33	1430	15403
34	1468	15311
35	1505	15223
36	1547	15183
37	1587	15124
38	1624	15037
39	1659	14933
40	1695	14849
41	1737	14810
42	1783	14806
43	1819	14724
44	1856	14648
45	1900	14624
46	1947	14629
47	1998	14656
48	2035	14581
49	2071	14501
50	2108	14426
51	2143	14347
52	2180	14275
53	2220	14225
54	2257	14163
55	2296	14107
56	2333	14042
57	2369	13970
58	2405	13903
59	2442	13839
60	2477	13770
61	2515	13712
62	2552	13656
63	2590	13601
64	2626	13538
65	2664	13482
66	2702	13430
67	2739	13375
68	2780	13339
69	2818	13285
70	2853	13223
71	2890	13168
72	2926	13108
73	2963	13055
74	2999	12999
75	3037	12948
76	3073	12892
77	3110	12839
78	3148	12791
79	3184	12737
80	3220	12681
81	3262	12651
82	3299	12603
83	3338	12558
84	3374	12506
85	3410	12451
86	3446	12400
87	3483	12352
88	3519	12298
89	3556	12248
90	3591	12194
91	3627	12145
92	3664	12095
93	3700	12046
94	3738	12003
95	3778	11965
96	3818	11928
97	3855	11881
98	3891	11830
99	3927	11782
100	3964	11736
101	4002	11694
102	4039	11649
103	4079	11611
104	4118	11569
105	4154	11523
106	4209	11527
107	4250	11492
108	4288	11449
109	4325	11402
110	4363	11359
111	4399	11313
112	4436	11267
113	4473	11223
114	4512	11182
115	4550	11141
116	4588	11097
117	4627	11058
118	4663	11012
119	4700	10966
120	4737	10924
121	4775	10880
122	4817	10848
123	4854	10804
124	4890	10758
125	4927	10716
126	4965	10674
127	5003	10632
128	5041	10590
129	5059	10507
130	5092	10457
131	5126	10408
132	5169	10377
133	5208	10338
134	5245	10297
135	5282	10254
136	5318	10210
137	5355	10167
138	5391	10123
139	5427	10079
140	5462	10034
141	5500	9993
142	5535	9948
143	5572	9906
144	5609	9864
145	5645	9821
146	5658	9739
147	5690	9688
148	5728	9649
149	5763	9606
150	5801	9566
151	5843	9534
152	5882	9497
153	5935	9481
154	5972	9441
155	6009	9399
156	6048	9361
157	6086	9322
158	6125	9285
159	6164	9247
160	6201	9206
161	6240	9168
162	6278	9129
163	6316	9090
164	6355	9051
165	6392	9011
166	6428	8969
167	6445	8901
168	6478	8855
169	6511	8809
170	6556	8780
171	6594	8741
172	6630	8700
173	6669	8663
174	6708	8624
175	6745	8585
176	6780	8543
177	6816	8501
178	6857	8465
179	6892	8424
180	6927	8382
181	6963	8341
182	6999	8300
183	7037	8261
184	7073	8220
185	7108	8178
186	7143	8136
187	7178	8095
188	7213	8053
189	7249	8012
190	7284	7971
191	7320	7930
192	7357	7890
193	7394	7851
194	7430	7811
195	7467	7771
196	7502	7731
197	7538	7690
198	7573	7649
199	7609	7609
200	7644	7568
201	7681	7529
202	7718	7490
203	7755	7451
204	7792	7411
205	7828	7372
206	7866	7334
207	7918	7309
208	7957	7271
209	7971	7212
210	8002	7168
211	8038	7128
212	8074	7089
213	8117	7055
214	8160	7021
215	8197	6982
216	8235	6945
217	8274	6907
218	8311	6869
219	8347	6829
220	8384	6791
221	8421	6752
222	8456	6712
223	8493	6673
224	8530	6635
225	8567	6596
226	8606	6559
227	8643	6520
228	8679	6481
229	8715	6442
230	8751	6402
231	8787	6363
232	8825	6325
233	8862	6286
234	8901	6249
235	8941	6213
236	8977	6174
237	9014	6135
238	9051	6097
239	9088	6058
240	9125	6020
241	9162	5982
242	9197	5942
243	9234	5904
244	9293	5879
245	9338	5845
246	9382	5811
247	9426	5777
248	9469	5742
249	9521	5713
250	9560	5675
251	9600	5638
252	9637	5599
253	9673	5560
254	9708	5520
255	9745	5481
256	9782	5443
257	9817	5403
258	9854	5365
259	9892	5326
260	9931	5289
261	9967	5249
262	9981	5199
263	10012	5157
264	10048	5119
265	10085	5080
266	10122	5042
267	10159	5003
268	10195	4965
269	10232	4926
270	10273	4890
271	10317	4855
272	10354	4816
273	10391	4778
274	10426	4739
275	10463	4700
276	10498	4661
277	10535	4623
278	10588	4592
279	10626	4554
280	10663	4515
281	10700	4477
282	10737	4439
283	10774	4400
284	10811	4362
285	10847	4323
286	10885	4285
287	10923	4247
288	10966	4212
289	11007	4175
290	11047	4138
291	11084	4099
292	11128	4063
293	11169	4027
294	11208	3989
295	11248	3952
296	11286	3914
297	11323	3875
298	11359	3837
299	11395	3798
300	11433	3760
301	11451	3716
302	11487	3677
303	11520	3638
304	11563	3601
305	11603	3564
306	11649	3528
307	11696	3493
308	11738	3456
309	11774	3418
310	11811	3380
311	11846	3341
312	11884	3303
313	11920	3264
314	11957	3226
315	11973	3182
316	12004	3143
317	12041	3104
318	12078	3066
319	12116	3029
320	12152	2990
321	12189	2952
322	12227	2915
323	12263	2876
324	12300	2838
325	12338	2800
326	12375	2762
327	12413	2724
328	12459	2688
329	12500	2651
330	12538	2613
331	12576	2575
332	12613	2537
333	12649	2499
334	12687	2461
335	12723	2423
336	12765	2386
337	12803	2348
338	12840	2310
339	12876	2272
340	12913	2234
341	12950	2196
342	12990	2158
343	13028	2120
344	13065	2082
345	13099	2044
346	13135	2006
347	13171	1968
348	13207	1930
349	13242	1891
350	13278	1853
351	13312	1815
352	13347	1777
353	13366	1736
354	13398	1698
355	13429	1659
356	13471	1622
357	13506	1584
358	13540	1546
359	13575	1508
360	13610	1470
361	13645	1432
362	13681	1394
363	13718	1356
364	13757	1319
365	13795	1281
366	13834	1243
367	13876	1206
368	13921	1169
369	13968	1132
370	14012	1095
371	14059	1058
372	14096	1020
373	14136	982
374	14176	945
375	14218	907
376	14259	869
377	14295	831
378	14332	794
379	14368	756
380	14405	718
381	14442	680
382	14478	642
383	14514	604
384	14550	566
385	14590	529
386	14628	491
387	14674	453
388	14713	416
389	14750	378
390	14788	340
391	14828	302
392	14867	264
393	14907	227
394	14945	189
395	14981	151
396	15019	113
397	15076	75
398	15114	37
399	15153	0
